price,Комнатность,Площадь квартиры,Этаж,Отделка,Вид из окна,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Кол-во санузлов,Балкон/лоджия,Санузел,Ремонт,Мебель,Кухонная мебель,Отопление,,Тип жилья,Год постройки,Консьерж,Территория,Вид из окон,Временная эпоха,Серия дома,Кондиционер,Реновация,Посудомойка,Холодильник,Интернет,Телевизор,Стиральная машина
38700000,4-комнатная,"108,5 м²",14 из 14,,,,3 м,есть,кирпич,закрытая,,15 м²,2,есть,совмещённый,Дизайнерский,есть,,,,,,,,во двор и на улицу,,,,,,,,,
45500000,4-комнатная,108 м²,29 из 39,,,,"3,1 м",есть,монолит,подземная,65 м²,14 м²,2,,совмещённый,,,,,Спортивная площадка,,2022,,,во двор и на улицу,,,,,,,,,
34078968,4-комнатная,108 м²,3 из 20,предчистовая,во двор,,"2,85 м",есть,монолит,подземная,"59,6 м²","19,3 м²",,,,,,,,,,2023,,,,,,,,,,,,
39577530,4-комнатная,"109,3 м²",11 из 30,предчистовая,во двор,2027 г.,"2,85 м",есть,кирпич-монолит,подземная,"64,1 м²",,3,,совмещённый,,,,,,,,,,,,,,,,,,,
40887300,4-комнатная,"109,5 м²",22 из 30,предчистовая,во двор,2027 г.,"2,85 м",есть,кирпич-монолит,подземная,"64,2 м²",,3,,совмещённый,,,,,,,,,,,,,,,,,,,
65000000,4-комнатная,109 м²,20 из 20,,,,"3,4 м",есть,монолит,подземная,"56,6 м²","18,3 м²",3,есть,совмещённый,Нужен ремонт,,,,,,2023,,,во двор и на улицу,,,,,,,,,
43500000,4-комнатная,109 м²,20 из 39,,,,"3,1 м",есть,монолит,подземная,60 м²,20 м²,2,,,Нужен ремонт,,,,Спортивная площадка,,2022,,,во двор и на улицу,,,,,,,,,
41800000,4-комнатная,109 м²,28 из 31,,,,,есть,монолит,,,"33,7 м²",3,,совмещённый,Нужен ремонт,нет,,центральное,,,2019,есть,закрытая,,,,,,,,,,
43500000,4-комнатная,109 м²,31 из 39,,,,"3,1 м",есть,монолит,подземная,60 м²,20 м²,2,,,Нужен ремонт,,,,Спортивная площадка,,2022,,,во двор и на улицу,,,,,,,,,
36500000,4-комнатная,110 м²,9 из 29,,на улицу,,"3,1 м",есть,монолит,подземная,74 м²,20 м²,2,,,Нужен ремонт,,,,,,2022,,,,,,,,,,,,
34552744,4-комнатная,"111,1 м²",23 из 24,предчистовая,во двор,2027 г.,"2,85 м",есть,монолит,подземная,"46,3 м²",,,,,,,,,,,,,,,,,,,,,,,
54915715,4-комнатная,"111,2 м²",10 из 24,без отделки,во двор,,"4,2 м",,,,"57,7 м²",,,,,,,,,,,2024,,,,,,,,,,,,
56538113,4-комнатная,"111,2 м²",13 из 24,без отделки,во двор,,"4,2 м",,,,"57,7 м²",,,,,,,,,,,2024,,,,,,,,,,,,
54374915,4-комнатная,"111,2 м²",9 из 24,без отделки,во двор,,"4,2 м",,,,"57,7 м²",,,,,,,,,,,2024,,,,,,,,,,,,
57130242,4-комнатная,"111,3 м²",14 из 24,без отделки,во двор,,"4,2 м",,,,"57,7 м²",,,,,,,,,,,2024,,,,,,,,,,,,
50568112,4-комнатная,"111,3 м²",4 из 24,без отделки,во двор,,"4,2 м",,,,"57,7 м²",,,,,,,,,,,2024,,,,,,,,,,,,
52155882,4-комнатная,"111,3 м²",7 из 24,без отделки,во двор,,"4,2 м",,,,"57,7 м²",,,,,,,,,,,2024,,,,,,,,,,,,
48252321,4-комнатная,"111,4 м²",3 из 20,предчистовая,во двор,,"2,85 м",есть,монолит,подземная,"54,4 м²","30,3 м²",,,,,,,,,,2023,,,,,,,,,,,,
47380319,4-комнатная,"111,5 м²",3 из 20,предчистовая,во двор,,"2,85 м",есть,монолит,подземная,"51,9 м²","30,3 м²",,,,,,,,,,2023,,,,,,,,,,,,
66521799,4-комнатная,"111,7 м²",6 из 6,без отделки,на улицу,,"4,2 м",,,,"69,4 м²",,,,,,,,,,,2023,,,,,,,,,,,,
68094565,4-комнатная,"111,8 м²",6 из 6,без отделки,на улицу,,"4,2 м",,,,71 м²,,,,,,,,,,,2023,,,,,,,,,,,,
68500000,4-комнатная,111 м²,28 из 35,,,,"3,1 м",есть,монолит,подземная,65 м²,40 м²,2,,совмещённый,Дизайнерский,есть,есть,,Спортивная площадка,,2022,,,во двор и на улицу,,,есть,,,,,,
72000000,4-комнатная,111 м²,29 из 35,,,,"3,1 м",есть,монолит,подземная,70 м²,35 м²,2,,совмещённый,Дизайнерский,есть,есть,,Спортивная площадка,,2022,,,во двор и на улицу,,,есть,,,,,,
