price,Комнатность,Площадь квартиры,Жилая площадь,Этаж,Отделка,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Площадь кухни,Санузел,Кол-во санузлов,Балкон/лоджия,Серия дома,Отопление,,Тип жилья,Вид из окна,Ремонт,Вид из окон,Временная эпоха,Реновация,Территория,Год постройки,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Консьерж
12800000,2-комнатная,55 м²,32 м²,6 из 14,,,"2,7 м",есть,панель,закрытая,10 м²,раздельный,1,есть,П-3М,центральное,,,во двор,Хороший,,,,,,,,,,,,,,
15000000,2-комнатная,55 м²,32 м²,6 из 17,,,"2,7 м",есть,панель,закрытая,"9,5 м²",раздельный,1,есть,П-3,центральное,Фитнес клуб,,во двор,Хороший,,,,,,,,,,,,,,
14600000,2-комнатная,55 м²,"32,2 м²",6 из 9,,,"2,75 м",есть,панель,закрытая,"7,1 м²",совмещённый,1,,1-515,центральное,Хорошая школа,,во двор,Хороший,,брежневка,,,,,,,есть,,,,,
13100000,2-комнатная,55 м²,30 м²,8 из 9,,,,есть,кирпич,закрытая,12 м²,раздельный,1,есть,,центральное,Хорошая школа,,,Нужен ремонт,во двор и на улицу,брежневка,,,,,,,есть,,,,,
19585744,2-комнатная,"56,1 м²","30,2 м²",19 из 30,без отделки,2026 г.,3 м,,монолит,,"11,4 м²",,,,,,,,,,,,,,,,,,,,,,,
24643608,2-комнатная,"56,1 м²","36,1 м²",19 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
19622265,2-комнатная,"56,1 м²","30,2 м²",21 из 30,без отделки,2026 г.,3 м,,монолит,,"11,4 м²",,,,,,,,,,,,,,,,,,,,,,,
19752698,2-комнатная,"56,1 м²","30,2 м²",29 из 30,без отделки,2026 г.,3 м,,монолит,,"11,4 м²",,,,,,,,,,,,,,,,,,,,,,,
23666065,2-комнатная,"56,1 м²","25,4 м²",29 из 59,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
23737593,2-комнатная,"56,1 м²","25,6 м²",32 из 59,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
23532547,2-комнатная,"56,1 м²","36,1 м²",8 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
11800000,2-комнатная,"56,2 м²","36,1 м²",1 из 6,,,"2,64 м",есть,панель,,9 м²,раздельный,1,есть,П-46,центральное,,,на улицу,Хороший,,,,,,,,,,,,,,
14291365,2-комнатная,"56,2 м²","22,8 м²",12 из 14,,3 кв. 2025 г.,"2,8 м",есть,монолит,открытая,"18,9 м²",совмещённый,1,есть,,,,,,,,,,,,,,,,,,,,
22497927,2-комнатная,"56,2 м²","35,8 м²",2 из 13,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,5 м²,,,,,,,,,,,,,,,,,,,,,,,
16900000,2-комнатная,"56,2 м²",38 м²,2 из 17,,,"2,7 м",есть,панель,закрытая,"12,5 м²",раздельный,1,есть,П-44/17,центральное,,,во двор,Дизайнерский,,,,,,,,,есть,,,,,
24649320,2-комнатная,"56,2 м²","35,8 м²",20 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
25036257,2-комнатная,"56,2 м²","35,8 м²",24 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
25165236,2-комнатная,"56,2 м²","35,8 м²",27 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
27200000,2-комнатная,"56,2 м²","26,2 м²",29 из 37,,,"3,1 м",есть,монолит,закрытая,"11,7 м²",совмещённый,1,,,,,,во двор,Дизайнерский,,,,,2021,есть,,,есть,,есть,,,
13871393,2-комнатная,"56,2 м²","34,5 м²",3 из 14,,3 кв. 2025 г.,"2,8 м",есть,монолит,открытая,"7,1 м²",совмещённый,1,есть,,,,,,,,,,,,,,,,,,,,
22797754,2-комнатная,"56,2 м²","35,8 м²",5 из 13,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,5 м²,,,,,,,,,,,,,,,,,,,,,,,
11700000,2-комнатная,"56,2 м²",36 м²,6 из 16,,,,есть,монолит,,10 м²,раздельный,1,,,,,,на улицу,Евро,,,,,2020,,,,,,,,,
11700000,2-комнатная,"56,2 м²",36 м²,6 из 16,,,,есть,монолит,,10 м²,раздельный,1,,,,Спортивная площадка,,на улицу,,,,,,2020,,,,,,,,,
15200000,2-комнатная,"56,3 м²","32,2 м²",14 из 15,,,"2,6 м",есть,кирпич,открытая,9 м²,раздельный,1,есть,Башня Вулыха,центральное,Хорошая школа,,,Нужен ремонт,во двор и на улицу,брежневка,,,,,,,,,,,,
12849498,2-комнатная,"56,3 м²","24,4 м²",2 из 16,без отделки,4 кв. 2026 г.,"2,95 м",,,,"17,2 м²",,,,,,,,,,,,,,,,,,,,,,,
20406221,2-комнатная,"56,3 м²","20,3 м²",23 из 48,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
20463496,2-комнатная,"56,3 м²","20,3 м²",24 из 48,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
21322673,2-комнатная,"56,3 м²","20,3 м²",29 из 48,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
14492617,2-комнатная,"56,3 м²","24,4 м²",3 из 16,чистовая,4 кв. 2026 г.,"2,95 м",,,,"17,2 м²",,,,,,,,,,,,,,,,,,,,,,,
30750000,2-комнатная,"56,3 м²","35,4 м²",3 из 9,,,3 м,есть,кирпич,,"8,4 м²",совмещённый,1,,,,Хорошие школы,,,Дизайнерский,,сталинка,,закрытая,,есть,есть,есть,есть,есть,есть,,,
13010344,2-комнатная,"56,3 м²","24,4 м²",4 из 16,без отделки,4 кв. 2026 г.,"2,95 м",,,,"17,2 м²",,,,,,,,,,,,,,,,,,,,,,,
14649642,2-комнатная,"56,3 м²","24,4 м²",5 из 16,чистовая,4 кв. 2026 г.,"2,95 м",,,,"17,2 м²",,,,,,,,,,,,,,,,,,,,,,,
10792710,2-комнатная,"56,3 м²",,6 из 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18500000,2-комнатная,"56,3 м²","32,2 м²",7 из 12,,,,есть,,подземная,10 м²,,2,,,,,,,Хороший,во двор и на улицу,,,,2023,,,,нет,,,,,
14500000,2-комнатная,"56,3 м²","33,1 м²",7 из 14,,,"2,64 м",есть,панель,закрытая,8 м²,раздельный,1,есть,П-55,центральное,,,во двор,Хороший,,,,,,,,,есть,,,,,
15100000,2-комнатная,"56,3 м²",,7 из 17,,,"2,64 м",есть,монолит,закрытая,12 м²,раздельный,1,есть,П-44,центральное,,,,Хороший,во двор и на улицу,,,,,,,,есть,,,,,
24100000,2-комнатная,"56,3 м²","36,6 м²",7 из 7,,,"3,12 м",есть,кирпич,,6 м²,раздельный,1,есть,,центральное,,,,,,сталинка,,,,,,,,,,,,
13530270,2-комнатная,"56,4 м²","22,4 м²",19 из 23,,3 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"17,1 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
14388018,2-комнатная,"56,4 м²","37,2 м²",2 из 16,чистовая,4 кв. 2026 г.,"2,95 м",,,,"4,7 м²",,,,,,,,,,,,,,,,,,,,,,,
25103076,2-комнатная,"56,4 м²","24,2 м²",20 из 29,предчистовая,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,"16,4 м²",совмещённый,2,,,,Спортивная площадка,,во двор,,,,,,,,,,,,,,,
13250097,2-комнатная,"56,4 м²","22,4 м²",22 из 23,,3 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"17,1 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
25389306,2-комнатная,"56,4 м²",,27 из 29,предчистовая,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,,,,,,,Спортивная площадка,,во двор,,,,,,,,,,,,,,,
25431042,2-комнатная,"56,4 м²","24,2 м²",28 из 29,предчистовая,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,"16,4 м²",совмещённый,2,,,,Спортивная площадка,,во двор,,,,,,,,,,,,,,,
25360260,2-комнатная,"56,4 м²",36 м²,30 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
25403406,2-комнатная,"56,4 м²",36 м²,32 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
23931648,2-комнатная,"56,4 м²","25,7 м²",36 из 59,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
