price,Комнатность,Площадь квартиры,Жилая площадь,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Территория,Балкон/лоджия,Ремонт,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Отопление,Консьерж,,Вид из окон,Тип жилья,Вид из окна,Отделка,Год постройки,Временная эпоха,Серия дома,Реновация
54999999,2-комнатная,90 м²,,34 м²,32 из 85,совмещённый,1,,,есть,монолит,подземная,,,Дизайнерский,,,,,,,,,,,Спортивная площадка,во двор и на улицу,апартаменты,,,2016,,,
29430000,2-комнатная,"91,2 м²","33,5 м²","33,6 м²",31 из 31,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
51988320,2-комнатная,"91,4 м²","30,2 м²","23,5 м²",2 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
121320000,2-комнатная,"91,6 м²","26,2 м²","24,3 м²",3 из 7,,2,4 кв. 2027 г.,"3,35 м",есть,монолит,,закрытая,есть,,,,,,,,,,,есть,,,,во двор,,,,,
30421755,2-комнатная,91 м²,"25,5 м²",,2 из 22,,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,
29190000,2-комнатная,91 м²,"27,5 м²",29 м²,30 из 31,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
62379330,2-комнатная,"92,1 м²",28 м²,"29,6 м²",9 из 11,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
67800000,2-комнатная,92 м²,30 м²,31 м²,4 из 9,раздельный,2,,"3,2 м",,блок,подземная,,есть,Нужен ремонт,,,,,,,,,,,,,,во двор,,2023,,,
31990000,2-комнатная,93 м²,"27,4 м²","33,6 м²",30 из 31,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
46114307,2-комнатная,"94,1 м²",,"32,9 м²",3 из 24,,,4 кв. 2025 г.,"3,02 м",есть,кирпич-монолит,закрытая,закрытая,,,,,,,,,,,,есть,,,,,без отделки,,,,
64106000,2-комнатная,95 м²,"23,9 м²","36,5 м²",2 из 13,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
